token_	Corpus	Observations	p_value	Obs/Exp
alarm	Northanger Abbey	22	0.025039478356	2.2
liberty	Sense and Sensibility	19	0.0435700793013	2.11111111111
bad	Emma	60	0.021921429065	1.53846153846
said	Sense and Sensibility	397	0.0160354647213	1.17455621302
said	Pride and Prejudice	401	0.0218232773432	1.16231884058
cousin	Mansfield Park	81	1.92700662934e-05	2.25
interest	Persuasion	43	0.0360890990641	1.59259259259
near	Persuasion	45	0.0112174149133	1.8
is	Emma	1243	4.90679030643e-05	1.17708333333
it	Emma	2529	9.26162959926e-05	1.11360634082
cant	Sense and Sensibility	10	0.0192847516305	5.0
in	Sense and Sensibility	1948	0.0443102606543	1.05697232773
in	Persuasion	1382	0.0278175927791	1.07716289945
if	Emma	485	0.0316994521097	1.13317757009
make	Pride and Prejudice	167	0.0323866973023	1.24626865672
unfortunate	Sense and Sensibility	23	0.0026100725272	3.28571428571
left	Sense and Sensibility	98	0.0096002843846	1.46268656716
just	Emma	169	0.00848551212387	1.33070866142
character	Persuasion	49	0.0373588202559	1.53125
deal	Emma	92	0.0282974218866	1.37313432836
dear	Emma	241	0.00277163672151	1.31693989071
amiable	Pride and Prejudice	36	0.0220111976662	1.8
amazingly	Northanger Abbey	16	0.000655735512658	8.0
aunts	Mansfield Park	31	0.00072475147006	3.1
father	Emma	166	0.00665505078946	1.34959349593
father	Persuasion	94	0.0103468002745	1.46875
suffered	Sense and Sensibility	27	0.0192306246307	2.07692307692
me	Emma	583	0.0170211425526	1.138671875
me	Sense and Sensibility	444	0.0167147411943	1.16230366492
me	Pride and Prejudice	448	0.0222777357496	1.15167095116
henry	Northanger Abbey	98	2.47005724983e-11	3.76923076923
henry	Mansfield Park	120	3.06789001534e-07	2.22222222222
box	Emma	23	0.0100277614254	2.55555555556
useful	Mansfield Park	38	0.0052240837379	2.11111111111
merely	Pride and Prejudice	33	0.0491670756524	1.65
soul	Sense and Sensibility	20	0.017843744527	2.5
mad	Emma	11	0.0286838581818	3.66666666667
man	Emma	218	0.0446025427171	1.1912568306
man	Persuasion	123	0.0335120109197	1.29473684211
description	Persuasion	16	0.0132971887926	3.2
living	Sense and Sensibility	35	0.0406956308255	1.66666666667
thing	Emma	398	3.50638422314e-22	2.32748538012
thing	Sense and Sensibility	185	0.000749014311973	1.4453125
think	Emma	384	0.00869594267585	1.2
